Composition,Crystal,Processing,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,DOI,TITLE,YEAR,SOURCE,ReducedFormula,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,radius_TC,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,radius,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,volume,Tm_ROM,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,D_Surf_GBR_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,ShearBurger_D_Surf_GBR,Surf_USF,DOS_VEC,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC
Al104Fe104Co104Cu104Ni83,MIX,CAST,4.11600000,1,298.15000000,1021.00000000,,12.30000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,Al104Fe104Co104Cu104Ni83,0.20800000,0.20800000,0.20800000,0.20800000,0.16600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013827,2.68824321,139.43308849,0.00702826,-0.00808626,-0.11133982,1.41937136,-0.04346659,-0.03278215,-0.05858111,-0.04789667,-0.03633736,-0.04574471,-0.11191152,1.42255714,52.55180059,6.24849699,1.82246493,-0.01778128,11.97779068,1510.81715431,147.90380762,60.99398798,162.48496994,0.32042084,2.05320240,2.14505411,0.96198998,2.36134381,0.37791182,1.82492456,-0.03059133,1.18306413,7.28551532,0.04292536,0.18325779,0.35421048,0.34695894,0.03097054,0.01030761,0.11632960,0.03873022,0.31499071,0.09509896,0.30974516,0.09423335,15.22719466,7.41631445,12.87097994,5.67607038,0.37790589,1.94299785,0.08508552,4.80589009,0.19734354,3050.27061285,2.18350014,2043.37647442
Al136Cr121(FeNi)121,BCC,CAST,,1,298.15000000,1044.00000000,,27.10000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al136Cr121(FeNi)121,0.27300000,0.24200000,0.24200000,0.24200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011931,2.71471262,171.94448439,-0.04912120,-0.02700569,-0.13046625,1.43220054,-0.17023247,-0.16800651,-0.14811696,-0.14589100,0.02641104,0.12827184,0.17173483,1.43656416,47.73579910,6.63727455,1.74821643,0.10186080,12.30552390,1641.14332665,144.86573146,73.28456914,186.39278557,0.29180361,2.03706814,2.35419840,1.24759719,1.72599607,0.74869539,1.47476230,0.08873643,1.10660120,6.44159599,0.04415884,0.19143142,0.44248647,0.41430784,0.03248965,0.01220584,0.12442578,0.04605568,0.39302498,0.14383825,0.37472092,0.13856368,18.46091426,9.06249228,16.68253587,3.14440081,0.26004591,1.82407538,0.10542787,1.15018498,0.18167213,3570.74529831,2.66041642,2537.49219469
Al151Cr116(FeNi)116,BCC,CAST,,1,298.15000000,1122.80000000,,24.70000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al151Cr116(FeNi)116,0.30300000,0.23200000,0.23200000,0.23200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011880,2.72612275,167.96992862,-0.04576640,-0.02555870,-0.13472857,1.43280691,-0.12489791,-0.11891067,-0.10469020,-0.09870296,-0.02536907,0.07119701,-0.00021217,1.44260214,46.87818503,6.48697395,1.74250501,0.09656608,12.32116046,1611.89442886,142.02004008,71.33066132,181.58316633,0.29420842,2.00082565,2.30646293,1.21406012,1.68574417,0.72395591,1.46010270,0.08240034,1.09240281,6.31783922,0.04597439,0.19972365,0.46425800,0.43550793,0.03370129,0.01326912,0.12872114,0.05006769,0.40599158,0.15636831,0.38772721,0.15063426,17.97631840,8.98445019,16.45576001,3.18591628,0.25986603,1.83369772,0.10686806,1.53324161,0.18496869,3703.60139786,2.67649024,2636.19929161
Al166Cr166(FeNi)333,BCC,CAST,,1,298.15000000,,,17.00000000,,10.1016/j.matlet.2016.01.096,A multi-component AlCrFe2Ni2 alloy with excellent mechanical properties,2016,S5,Al166Cr166(FeNi)333,0.16600000,0.16600000,0.33400000,0.33400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011450,2.67415322,180.81189805,-0.08595231,-0.05167869,-0.11212890,1.41866849,-0.12668481,-0.12353615,-0.09241119,-0.08926253,-0.01059589,0.06552209,0.04884535,1.41510104,51.35428378,7.50300601,1.79182365,0.07611798,11.96000535,1698.69551102,156.37074148,76.17234469,195.18737475,0.29334669,2.17611323,2.40271743,1.32788677,2.09083259,0.73972345,1.67528912,0.06530499,1.07483066,7.13008483,0.03802527,0.16644292,0.34254241,0.31856421,0.02689449,0.00827057,0.10532978,0.03370769,0.31246853,0.09093513,0.29731505,0.08797130,19.00706583,8.73441032,17.68377709,3.24812934,0.27866599,1.83024219,0.10242807,1.53532955,0.17551704,3093.86134122,2.45382883,2149.03441478
Al179Cr99Fe99(Co15Ni16)20,MIX,CAST,2.99292000,1,298.15000000,1129.40000000,,16.70000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al179Cr99Fe99(Co15Ni16)20,0.18000000,0.09900000,0.09900000,0.30100000,0.32100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012863,2.66057258,195.61620663,-0.04310072,-0.09502277,-0.11444767,1.40718640,-0.06738893,-0.06327215,-0.11931098,-0.11519420,-0.03753342,-0.01970355,-0.04060648,1.40791448,52.12418336,7.84653962,1.81434303,0.01782987,11.67195218,1650.48473420,158.54764293,71.49147442,188.30491474,0.30526580,2.20784654,2.41826078,1.02265196,2.68873105,0.44896790,1.59319968,-0.00980603,1.39560883,7.41558057,0.04309825,0.18542430,0.33777473,0.31656914,0.03022549,0.00941756,0.11443325,0.03532911,0.30699000,0.09380469,0.29804880,0.09249464,17.69468018,8.01445203,12.67882507,5.38626651,0.34266456,1.87879882,0.09248939,3.15045394,0.18064390,3472.60305813,2.45788752,2413.28087700
Al180Cr100Fe100Co300(Ni103Mo3)3,MIX,CAST,3.50154000,1,298.15000000,1159.70000000,,18.20000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr100Fe100Co300(Ni103Mo3)3,0.18000000,0.10000000,0.10000000,0.30100000,0.31000000,0.00900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013237,2.66786913,196.02964705,-0.02079456,-0.06371698,-0.08958826,1.41168513,-0.04821206,-0.04426542,-0.09113448,-0.08718784,-0.04301029,-0.01909298,-0.05085542,1.41177564,52.42531668,7.79959920,1.81606212,0.02182967,11.78425498,1660.83527054,159.26653307,71.94188377,189.43987976,0.30519038,2.21234469,2.42739479,1.03075651,2.65939579,0.45975451,1.57363311,-0.00464435,1.39663828,7.38734404,0.04339592,0.18432935,0.34414789,0.32318841,0.03097923,0.00939889,0.11622127,0.03523644,0.31038245,0.09460643,0.30133303,0.09328215,17.86308560,8.07427779,12.79005874,5.27976288,0.34096570,1.87848634,0.13557559,4.55979361,0.17951810,3466.22582186,2.48705429,2417.13214845
Al180Cr99Fe99Co300(Ni15Mo)20,MIX,CAST,3.55348000,1,298.15000000,1250.80000000,,14.70000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr99Fe99Co300(Ni15Mo)20,0.18000000,0.09900000,0.09900000,0.30100000,0.30100000,0.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013508,2.67367732,196.65246477,-0.00384768,-0.05044187,-0.08783901,1.41334590,-0.03837305,-0.03346734,-0.08496724,-0.08006153,-0.05294367,-0.02540843,-0.08312999,1.41484921,52.84541518,7.76152305,1.81914830,0.02573254,11.82589449,1673.17294589,160.30861723,72.44789579,190.77154309,0.30531062,2.21922144,2.43764028,1.03899800,2.63560397,0.46940982,1.55737202,0.00030540,1.39864228,7.42032126,0.04429452,0.18587774,0.34996489,0.32952442,0.03180258,0.00933665,0.11812686,0.03498917,0.31325099,0.09502654,0.30420725,0.09370974,18.00989053,8.11540939,12.87669530,5.19298953,0.33957304,1.87898457,0.13698318,5.89007849,0.17819437,3531.00415898,2.52789952,2473.84766400
Al180Cr99Fe99Co300(Ni29Mo3)10,MIX,CAST,3.52506000,1,298.15000000,1198.30000000,,14.50000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr99Fe99Co300(Ni29Mo3)10,0.18000000,0.09900000,0.09900000,0.30100000,0.29100000,0.03000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013722,2.67903597,197.23064193,0.01091961,-0.03927998,-0.08615351,1.41511398,-0.03930933,-0.03578455,-0.08950893,-0.08598415,-0.04789403,-0.01774899,-0.07017918,1.41768489,53.21862760,7.72144289,1.82165331,0.02970597,11.87033212,1684.87635271,161.23046092,72.94889780,192.06412826,0.30531062,2.22543387,2.44794088,1.04746493,2.61001078,0.47978056,1.53969527,0.00538857,1.40047595,7.44475130,0.04501922,0.18692173,0.35514487,0.33503929,0.03250905,0.00927643,0.11973193,0.03474468,0.31599965,0.09544354,0.30690029,0.09412600,18.15712101,8.15891286,12.96496451,5.10220939,0.33802112,1.87898457,0.13817532,5.88153768,0.17695661,3582.07273099,2.56450318,2519.85593797
Al181Fe181Co181Cu181Ni272,MIX,CAST,3.17324000,1,298.15000000,680.00000000,,35.90000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,Al181Fe181Co181Cu181Ni272,0.18200000,0.18200000,0.18200000,0.18200000,0.27300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013743,2.67481091,147.58118768,-0.00824013,-0.02141908,-0.11307333,1.41645458,-0.05347262,-0.04474173,-0.06665157,-0.05792068,-0.04052758,-0.04928627,-0.12188235,1.41544908,53.33829576,6.72891566,1.83367470,-0.01624560,11.90409995,1538.62965863,152.01405622,62.91566265,167.28915663,0.31908635,2.09505221,2.18103213,0.99182932,2.51248779,0.37945984,1.93271836,-0.03529226,1.18920281,7.44032600,0.04103053,0.17605576,0.33040771,0.32347756,0.02938691,0.00921896,0.11165197,0.03493551,0.30070584,0.08533152,0.29509416,0.08442452,15.67466472,7.48175375,13.18081708,5.74772849,0.37338673,1.93722998,0.08479421,3.95431175,0.19377632,2970.79267706,2.17508348,1987.60600347
Al196Cr196Fe196Co196Ni196Mo19,BCC,CAST,,1,298.15000000,1804.00000000,2280.00000000,10.21276596,9.00000000,10.1016/j.msea.2010.07.028,Microstructures and compressive properties of multicomponent AlCoCrFeNiMox alloys,2010,S5,Al196Cr196Fe196Co196Ni196Mo19,0.19600000,0.19600000,0.19600000,0.19600000,0.19600000,0.01900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00014411,2.69219525,191.10337161,0.00043575,-0.01881860,-0.08211750,1.42520066,-0.03588417,-0.03176189,-0.05513851,-0.05101623,-0.04052038,0.03462270,-0.04923274,1.42464848,51.35426405,7.17717718,1.78526527,0.07691562,12.12597449,1707.11383383,155.85185185,75.96996997,196.37137137,0.29430430,2.17734935,2.48577177,1.17928729,2.14410214,0.65905005,1.39317759,0.06423798,1.30648448,7.03249211,0.04279964,0.17852245,0.38230005,0.35585351,0.03139139,0.00957928,0.11644234,0.03565291,0.34292013,0.10664236,0.32807871,0.10398613,19.04385218,8.74634664,14.57640898,3.77174961,0.29873892,1.83408275,0.12812217,6.85582671,0.17465150,3397.26394175,2.60355093,2399.94784271
