CompID,Composition,Crystal,Processing,GrainSize,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,Youngs_EXP,Youngs_ROM_ORG,DOI,YEAR,TITLE,ReducedFormula,radius,radius_TC,Tm_ROM,volume,LattPara,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,USF_Surf,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC,Elong_M0,Elong_M1,Elong_M2,Elong_M3,Elong_M4,D_Surf_GBR_ROM,ShearBurger_D_Surf_GBR,Predicted_Yield_EXP
0,Al2CrFeCoCuNi,BCC,CAST,,,1,298.15000000,1620.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.19484636,3151.90144161,2.39700807,2174.19782243,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,1352.96613908
1,Al2CrFeCoCuNi,BCC,CAST,,,1,773.15000000,1120.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.50526735,3151.90144161,2.39700807,1395.78244820,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,991.89942224
2,Al2CrFeCoCuNi,BCC,CAST,,,1,873.15000000,805.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.57061914,3151.90144161,2.39700807,1256.21136492,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,631.82045506
3,Al2CrFeCoCuNi,BCC,CAST,,,1,973.15000000,567.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.63597093,3151.90144161,2.39700807,1130.59667384,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,474.70119114
4,Al2CrFeCoCuNi,BCC,CAST,,,1,1073.15000000,302.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.70132272,3151.90144161,2.39700807,1017.54280737,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,266.34183774
5,Al2CrFeCoCuNi,BCC,CAST,,,1,1173.15000000,214.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.76667451,3151.90144161,2.39700807,915.79374748,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,235.51665555
6,Al2CrFeCoCuNi,BCC,CAST,,,1,1273.15000000,116.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.83202630,3151.90144161,2.39700807,824.21907152,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,174.72914248
7,Al2CrFeCoCuNi,BCC,CAST,,,1,1373.15000000,79.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,Al2CrFeCoCuNi,1.45456064,1.42883475,1530.18000000,12.61377926,2.93286276,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72468703,146.40354192,0.06842713,0.05465604,-0.06491057,-0.03833217,-0.03111690,-0.05210326,-0.04488799,0.00137983,0.03885219,0.00425876,48.99668174,5.85714286,1.77142857,0.04325002,140.57142857,64.14285714,167.00000000,0.30857143,1.97028571,2.12328571,1.01042857,1.93679143,0.59457143,1.59049300,0.02786200,6.45016518,0.04663453,0.18567968,0.46981178,0.43839533,0.03420863,0.01308391,0.12831868,0.04879974,0.38234908,0.13507936,0.36844945,0.13199520,16.29186015,8.26878055,0.30176914,1.89256199,0.08207317,6.01514739,0.89737809,3151.90144161,2.39700807,741.80139330,16.43010417,0.32040128,1.81619313,9.06297474,15.40216141,1.20185714,13.55557130,162.44778780
8,AlCrFeCoCuNi,FCC+BCC,CAST,,,1,1273.15000000,47.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.27733333,1.10616667,2.13427333,0.66866667,1.66890850,0.04327183,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632646,0.31760608,1.86396183,0.07160641,14.46614911,0.78123817,2771.03516078,2.27494810,674.30600606,20.07583917,0.37654238,2.33099270,5.30529656,17.35786197,1.27500000,13.88087787,59.32815262
9,AlCrFeCoCuNi,FCC+BCC,CAST,,,1,1173.15000000,98.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.27733333,1.10616667,2.13427333,0.66866667,1.66890850,0.04327183,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632646,0.31760608,1.86396183,0.07160641,14.46614911,0.71987556,2771.03516078,2.27494810,753.47176114,20.07583917,0.37654238,2.33099270,5.30529656,17.35786197,1.27500000,13.88087787,126.87583416
