CompID,ReducedFormula,Composition,Au,Az,BOG,Bulk,Bprime,C11,C12,C44,Crystal,Eform,Eform_str,LattPara,Poisson,Shear,Etot,sws,Youngs,bcc2hcp,bcc2sublatt,Smix,Gmix,radius,volume,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,Eform_BOKAS,amass,VEC,E_negativity,density,Tm_ROM,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,radius_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,Exp_Bulk_ROM_DELTA,radius_DISTORT,volume_DISTORT,Exp_Shear_DISTORT,Exp_Youngs_DISTORT,Exp_Bulk_DISTORT,ElasticEnergy,SH_ratio,Vicker_M1,Compress_M1,sigma_y0,delta_Eb0,Elong_M1,Compress_M2,radius_TC,Hmix_TC,Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp_Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC_diff,radius_TC_DELTA,radius_TC_DISTORT,Exp_Surf_ROM,Cal_Surf_ROM,radius_TC_DISTORT_Max,volume_DISTORT_Max,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,Exp_Poisson_Comp,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,USF_Surf,Exp_Az_ROM,Compress_M3,Compress_M4,b2h_ROM,Elong_M2,Elong_M3,Elong_M4,D_Surf_GBR_ROM,ShearBurger_D_Surf_GBR,bcc2laves,laves_substrs,bcc2laves_2,laves_substrs_2,bcc2b2,b2_substrs,bcc2b2_2,b2_substrs_2,bcc2subss,subss_substrs,bcc2subss_2,subss_substrs_2
1896,Ti8VCr,Ti80V10Cr10,1.6635538,3.05943734,2.9355239,131.744475,3.67784502,149.5628415,107.2953527,64.65736695,bcc,0.13785522,0.06977035,3.18530475,0.34704135,41.35020513,-1766.141204,2.96376403,111.400872,0.02666485,1000,0.0550675,0.08278772,1.57930426,16.62489924,0,0,0,0.8,0,0,0,0.1,0.1,0,0,0,0,0,0,0.00005507,0.00493873,48.58736,4.3,1.561,4.8530378,1989.1,117.8,51.4,133.5,0.314,0.04104733,0.11399803,0.41281828,0.36428299,0.18340093,0.03185609,0.09479923,0.1900794,0.17594196,0.12165334,0.16558685,1.55016253,4.45502396,19.11007884,1279.274923,1.81308485,14.15079678,11.12199412,1.5832763,0.07066018,0.0367998,0.03176163,-0.00432189,0.00257531,-0.03128507,0.03608352,0.04182756,0.03241287,2.1722,2.6661,0.02169133,0.06333677,0.12743364,0.11827572,14.31385971,6.58956805,1.9154519,0.603,4.54376,0.598,0.27529693,1.0676388,12.3763863,18.74617261,-0.011,19.50627194,10.06555699,30.639574,2.0631,6.93803486,0.08854862,"('Ti33', 'Cr10V10Ti47')",-0.01995237,"('TiCr2', 'Ti75V10')",0.01139228,"('Ti4V', 'Ti4Cr')",0.00704489,"('TiCr', 'Ti70V10')",-0.01308768,"('V10Cr10', 'Ti80')",-0.04599479,"('Ti80V1', 'V9Cr10')"
1856,Ti7VCr2,Ti70V10Cr20,0.43450611,1.80942741,2.79653753,144.4871009,4.0174179,177.6741804,110.9036843,60.40818275,bcc,0.15972328,0.10014901,3.14012741,0.340249,47.61620932,-1805.554588,2.92172882,127.6351538,0.09604316,1000,0.06909537,0.09062791,1.56074543,16.01651494,0,0,0,0.7,0,0,0,0.1,0.2,0,0,0,0,0,0,0.0000691,0.0072485,49.00027,4.5,1.573,5.0801887,2013,123.3,58.5,149.8,0.303,0.05011971,0.14150752,0.48314418,0.43189219,0.20197904,0.03978807,0.11832706,0.26803097,0.24712174,0.14452054,0.16862259,1.91185761,4.44508947,18.40753872,1905.845048,2.27986844,0.37110367,46.51630817,1.5637226,0.0727507,0.03664255,0.09452739,0.01309778,0.01317643,-0.02293172,0.08142962,0.05182556,0.04111088,2.1922,2.765,0.0248513,0.07151963,0.15747723,0.14584541,16.08986885,7.33959896,1.86944046,0.7445,4.11692,0.7585,0.34599945,1.0249182,6.80373607,14.36917133,0.041,2.05489095,7.5814808,29.55232402,2.0205,7.96331049,0.04337924,"('Ti33', 'Cr20V10Ti37')",-0.04222173,"('TiCr2', 'Ti60V10')",0.00919348,"('Ti4V', 'Ti3Cr2')",-0.00936832,"('VCr', 'Ti70Cr10')",-0.0212814,"('V10Cr20', 'Ti70')",-0.04925747,"('Ti70V1', 'V9Cr20')"
1788,Ti6VCr3,Ti60V10Cr30,0.05340509,1.23438275,2.75556028,157.2297268,3.99635772,207.2595154,114.313837,57.3652709,bcc,0.1676659,0.11660225,3.09634224,0.33812974,52.72819864,-1844.968996,2.88098894,141.1143419,0.16336892,1000,0.07737897,0.09028693,1.5421866,15.42315714,0,0,0,0.6,0,0,0,0.1,0.3,0,0,0,0,0,0,0.00007738,0.00799808,49.41318,4.7,1.585,5.3200892,2036.9,128.8,65.6,166.1,0.292,0.05557889,0.1602195,0.49316793,0.44547773,0.20733739,0.04440826,0.13203185,0.31630389,0.29110201,0.15741463,0.17165833,2.17986951,5.05468129,18.40133314,2457.053761,2.64548575,0.0535104,33.26560266,1.5441689,0.07230397,0.03563789,0.15280615,0.02603044,0.02124032,-0.01542576,0.12677571,0.05786795,0.04622339,2.2122,2.8639,0.02535371,0.07252246,0.16524175,0.15292574,17.81704037,8.05399167,1.82485876,0.886,3.69008,0.919,0.41542356,0.9821976,6.38193059,8.01706626,0.093,1.6043621,7.5814808,21.91800205,1.9779,9.00805924,0.00009669,"('Ti33', 'Cr30V10Ti27')",-0.06451387,"('TiCr2', 'Ti44V10')",0.00906274,"('Ti4V', 'Ti2Cr3')",-0.00635943,"('VCr', 'Ti60Cr20')",-0.02709483,"('V10Cr30', 'Ti60')",-0.05067804,"('V10Cr28', 'Ti60Cr1')"
1692,Ti5VCr4,Ti50V10Cr40,0.01331194,0.90007602,2.78089588,169.9723527,3.97744481,241.1433816,118.8606985,55.0318553,bcc,0.16143983,0.11888678,3.05372471,0.33944663,57.3993417,-1884.384445,2.8413355,153.7667094,0.22861491,1000,0.08129147,0.08014836,1.52362778,14.84463766,0,0,0,0.5,0,0,0,0.1,0.4,0,0,0,0,0,0,0.00008129,0.00718748,49.82609,4.9,1.597,5.57361031,2060.8,134.3,72.7,182.4,0.281,0.05828244,0.17199882,0.4752223,0.43283774,0.20331988,0.04633235,0.13773438,0.34308192,0.31527556,0.16171736,0.17469406,2.42906123,4.707495,6.18324676,2911.289108,2.9205813,0.30750277,22.05506245,1.5246152,0.06896716,0.03306367,0.20729494,0.03517314,0.02641411,-0.00948938,0.1721218,0.06095793,0.04846428,2.2322,2.9628,0.02403533,0.06852115,0.1589679,0.14706616,19.49537417,8.73370405,1.78164117,1.0275,3.26324,1.0795,0.48360362,0.939477,2.88580851,4.56019497,0.145,1.73051583,7.5814808,16.09436324,1.9353,10.07356698,-0.04108715,"('Ti33', 'Cr40V10Ti17')",-0.08628652,"('TiCr2', 'Ti30V10')",0.011412,"('Ti4V', 'TiCr4')",-0.00342547,"('VCr', 'Ti50Cr30')",-0.03093205,"('V10Cr40', 'Ti50')",-0.04945897,"('V10Cr39', 'Ti50Cr1')"
1568,Ti4VCr5,Ti40V10Cr50,0.15680894,0.69799111,2.81357487,182.7149786,4.02884253,278.4815601,123.8575117,53.96310521,bcc,0.14134002,0.10729758,3.01245762,0.34111389,62.34021469,-1923.800914,2.80293857,167.2106558,0.29097023,1000,0.08129147,0.06004855,1.50506895,14.28076918,0,0,0,0.4,0,0,0,0.1,0.5,0,0,0,0,0,0,0.00008129,0.00481668,50.239,5.1,1.609,5.84169368,2084.7,139.8,79.8,198.7,0.27,0.05843723,0.17683717,0.4412309,0.40448766,0.19161166,0.04575558,0.13601215,0.35117064,0.32217056,0.15780564,0.1777298,2.7211399,6.64004043,13.35566515,3224.043655,3.09826051,0.27052999,23.5851232,1.5050615,0.06227843,0.02827834,0.25835422,0.04088634,0.02823599,-0.0057641,0.21746789,0.06134763,0.04806456,2.2522,3.0617,0.02330343,0.06529443,0.17553134,0.16095697,21.12487048,9.3796601,1.73972603,1.169,2.8364,1.24,0.55057277,0.8967564,0,3.07252804,0.197,0,7.8415001,13.86797711,1.8927,11.16123552,-0.07961922,"('Ti33', 'Cr50V10Ti7')",-0.10726907,"('TiCr2', 'Ti15V10')",0.01838476,"('Ti4V', 'Cr')",-0.00080921,"('VCr', 'Ti40Cr40')",-0.03195332,"('V10Cr50', 'Ti40')",-0.04582556,"('V10Cr49', 'Ti40Cr1')"
1416,Ti3VCr6,Ti30V10Cr60,0.35844772,0.58277329,2.74235874,195.4576045,3.95868063,320.3354774,127.3866492,56.22271122,bcc,0.10767778,0.08214595,2.97274272,0.33743496,69.90439373,-1963.21838,2.76598588,186.9851603,0.3511447,1000,0.07737897,0.03029881,1.48651012,13.73136351,0,0,0,0.3,0,0,0,0.1,0.6,0,0,0,0,0,0,0.00007738,0.0008857,50.65191,5.3,1.621,6.12535912,2108.6,145.3,86.9,215,0.259,0.05586665,0.17363637,0.39614656,0.3648955,0.17260889,0.04263383,0.12673343,0.34126307,0.31237359,0.1453437,0.18076554,3.1662868,7.18543742,14.15126515,3333.891594,3.15827814,0.72077597,18.55715284,1.4855078,0.0515308,0.02059709,0.30668655,0.04387257,0.02599897,-0.00493474,0.26281398,0.05887192,0.04499572,2.2722,3.1606,0.02434992,0.06810092,0.18783795,0.17189414,22.70552918,9.99275116,1.69905533,1.3105,2.40956,1.4005,0.616363,0.8540358,7.21077336,8.86069678,0.249,2.06752542,7.67060879,12.94457809,1.8501,12.27259563,-0.09591095,"('V3Ti30', 'Cr60V7')",-0.12551522,"('TiCr2', 'V10')",0.00949779,"('Ti3VCr', 'Cr')",0.00170256,"('VCr', 'Ti30Cr50')",-0.03007867,"('V10Cr60', 'Ti30')",-0.03923574,"('V10Cr59', 'Ti30Cr1')"
1236,Ti2VCr7,Ti20V10Cr70,0.4977176,0.53079376,2.50563111,208.2002305,3.99176831,376.8666319,129.9094349,65.54166934,bcc,0.06123843,0.04421721,2.93421482,0.32387944,84.70061684,-2002.636785,2.73013763,224.2668108,0.40982091,1000,0.06909537,-0.00785694,1.4679513,13.19623247,0,0,0,0.2,0,0,0,0.1,0.7,0,0,0,0,0,0,0.0000691,-0.00460546,51.06482,5.5,1.633,6.42571178,2132.5,150.8,94,231.3,0.248,0.0499153,0.15955701,0.34135511,0.31529961,0.14527844,0.03664843,0.10895238,0.31247137,0.28498183,0.12302684,0.18380128,4.1117213,5.43244459,18.42416693,3142.689779,3.0584227,2.13034628,21.20670317,1.4659541,0.03583557,0.00927335,0.35307847,0.0449184,0.01881435,-0.00774787,0.30816007,0.05286886,0.03894599,2.2922,3.2595,0.02344522,0.06533572,0.18883425,0.17221242,24.23735012,10.57383741,1.65957447,1.452,1.98272,1.561,0.68100515,0.8113152,7.42822556,9.33757725,0.301,1.87674673,0,16.38626692,1.8075,13.40932233,-0.03183183,"('Cr3V10Ti20', 'Cr67')",-0.09644646,"('TiCr2', 'V10Cr29')",0.00532197,"('Ti2VCr2', 'Cr')",0.00371419,"('TiCr', 'V10Cr49')",-0.02456153,"('V10Cr70', 'Ti20')",-0.02900344,"('V10Cr69', 'Ti20Cr1')"
1028,TiVCr8,Ti10V10Cr80,0.45755195,0.54439636,2.11919807,220.9428564,3.97655105,435.9121667,125.5076915,84.49153278,bcc,0.01040648,0.00189587,2.89823996,0.29612901,108.0483477,-2042.055513,2.69666485,280.0891963,0.45854795,1000,0.0550675,-0.04466102,1.44939247,12.67518872,0,0,0,0.1,0,0,0,0.1,0.8,0,0,0,0,0,0,0.00005507,-0.01165681,51.47773,5.7,1.645,6.74395009,2156.4,156.3,101.1,247.6,0.237,0.03873763,0.12741069,0.27505532,0.25386631,0.10520888,0.02684967,0.07985247,0.26162236,0.2368649,0.08705862,0.18683702,8.37049127,3.80434279,14.75457515,2467.245771,2.6902222,2.15016119,34.38196047,1.4464004,0.01418645,-0.00628956,0.39850554,0.04499938,0.00567584,-0.01480017,0.35350616,0.04148523,0.02897688,2.3122,3.3584,0.01954014,0.05390894,0.17442163,0.15793225,25.7203336,11.1237495,1.62123198,1.5935,1.55588,1.7215,0.74452902,0.7685946,0.24562062,7.92270811,0.353,2.74309363,0,10.62179901,1.7649,14.57325265,0.09578487,"('Cr13V10Ti10', 'Cr67')",-0.04750583,"('TiCr2', 'V10Cr60')",0.00368846,"('TiVCr3', 'Cr')",0.00361198,"('TiCr', 'V10Cr70')",-0.01480522,"('V10Cr80', 'Ti10')",-0.01453196,"('V10Cr79', 'Ti10Cr1')"
1863,Ti7V2Cr,Ti70V20Cr10,0.8184018,2.2344676,2.8762162,139.2600025,3.90123965,165.5385909,110.2466421,61.77403423,bcc,0.14139754,0.08182328,3.15859114,0.3442149,44.73839341,-1785.242248,2.93890838,120.2760299,0.06378011,1000,0.06909537,0.07230217,1.5659834,16.22973993,0,0,0,0.7,0,0,0,0.2,0.1,0,0,0,0,0,0,0.0000691,0.00261912,48.89481,4.4,1.57,5.00265549,2013.3,123.1,51.7,134.7,0.319,0.04492836,0.12730266,0.40876498,0.35881431,0.19982597,0.03554178,0.10586118,0.18934779,0.17528102,0.14310295,0.15521775,2.18324596,5.03948239,15.72222853,1495.572522,1.92078157,16.35136082,13.53120823,1.5706313,0.06371692,0.0264316,0.06162487,-0.00315054,0.00414266,-0.03314266,0.06477541,0.04506765,0.03555193,2.2244,2.7173,0.02152033,0.06402315,0.11180626,0.10421343,14.2824165,6.42079504,1.93685756,0.6995,4.48536,0.6405,0.28794282,1.0319312,19.27768175,20.18886824,0.026,22.06797405,18.90358086,33.23134118,2.0178,7.07821216,0.07829469,"('Ti33', 'Cr10V20Ti37')",-0.01675096,"('TiCr2', 'Ti64V20')",0.02267926,"('Ti3V2', 'Ti4Cr')",-0.01032594,"('VCr', 'Ti70V10')",-0.01485524,"('V20Cr10', 'Ti70')",-0.04333028,"('V19Cr10', 'Ti70V1')"
1795,Ti3VCr,Ti60V20Cr20,0.16909289,1.45239084,2.80090569,152.0026284,3.98630335,194.3641035,113.9861564,58.37009704,bcc,0.15424285,0.10317919,3.11430579,0.34047164,50.26188698,-1824.656296,2.89770311,134.7492685,0.13262086,1000,0.08188797,0.07235488,1.54742457,15.6310942,0,0,0,0.6,0,0,0,0.2,0.2,0,0,0,0,0,0,0.00008189,0.001778,49.30772,4.6,1.582,5.23811386,2037.2,128.6,58.8,151,0.308,0.0515866,0.14850865,0.47829951,0.42495714,0.2057702,0.04111451,0.12236713,0.26633729,0.24478527,0.15626453,0.15825349,2.68526942,4.49924635,16.68002167,2055.053616,2.31757365,0.37110367,42.55967059,1.5510776,0.06212493,0.02293174,0.1082394,-0.0018821,0.01106127,-0.02813192,0.1101215,0.05276364,0.0419761,2.2444,2.8162,0.02300713,0.06717879,0.13516378,0.12545035,16.04160247,7.14739016,1.89017341,0.841,4.05852,0.801,0.35688826,0.9892106,6.80373607,14.06207777,0.078,2.05415109,16.91336485,29.29226912,1.9752,8.12150793,0.03660957,"('Ti33', 'Cr20V20Ti27')",-0.03560761,"('TiCr2', 'Ti50V20')",0.01553854,"('Ti3V2', 'Ti3Cr2')",0.01899538,"('TiCr', 'Ti40V20')",-0.02265914,"('V20Cr20', 'Ti60')",-0.04613592,"('V19Cr20', 'Ti60V1')"
