Compstr,Etot,Eform
NiNi,-5.376344,0.000000
CoNi,-6.098510,0.062480
FeNi,-6.774829,0.034513
CuNi,-4.514896,0.020801
MnNi,-6.856598,0.241272
CrNi,-7.220890,0.210677
VNi,-7.176791,-0.017868
ZnNi,-3.528144,-0.329970
MoNi,-7.913267,0.248724
WNi,-8.905343,0.291567
AlNi,-5.271912,-0.760674
TiNi,-6.960230,-0.441412
TaNi,-8.743016,-0.124165
NbNi,-7.876203,-0.084765
HfNi,-8.152183,-0.576076
ZrNi,-7.363719,-0.463756
NiCo,-6.098510,0.062480
CoCo,-6.945636,0.000000
FeCo,-7.700290,-0.106302
CuCo,-5.115145,0.205198
MnCo,-8.028414,-0.145898
CrCo,-7.894358,0.321854
VCo,-7.976005,-0.032436
ZnCo,-4.031080,-0.048260
MoCo,-8.716232,0.230405
WCo,-9.715252,0.266304
AlCo,-5.995003,-0.699119
TiCo,-7.768441,-0.464978
TaCo,-9.528067,-0.124571
NbCo,-8.614279,-0.038195
HfCo,-8.897247,-0.536494
ZrCo,-8.076194,-0.391587
NiFe,-6.774829,0.034513
CoFe,-7.700290,-0.106302
FeFe,-8.242340,0.000000
CuFe,-5.714742,0.253952
MnFe,-8.503910,0.026958
CrFe,-8.677720,0.186843
VFe,-8.719547,-0.127627
ZnFe,-4.554738,0.076434
MoFe,-9.418793,0.176196
WFe,-10.456920,0.172988
AlFe,-6.323142,-0.378906
TiFe,-8.423298,-0.471483
TaFe,-10.229605,-0.177757
NbFe,-9.298692,-0.074256
HfFe,-9.455624,-0.446520
ZrFe,-8.601822,-0.268862
NiCu,-4.514896,0.020801
CoCu,-5.115145,0.205198
FeCu,-5.714742,0.253952
CuCu,-3.695049,0.000000
MnCu,-6.148566,0.108656
CrCu,-5.974977,0.615941
VCu,-6.020937,0.297338
ZnCu,-2.509130,-0.151604
MoCu,-6.818866,0.502477
WCu,-7.731140,0.625122
AlCu,-3.872208,-0.201618
TiCu,-5.783120,-0.104950
TaCu,-7.571098,0.207104
NbCu,-6.781804,0.168986
HfCu,-6.913589,-0.178131
ZrCu,-6.229095,-0.169781
NiMn,-6.856598,0.241272
CoMn,-8.028414,-0.145898
FeMn,-8.503910,0.026958
CuMn,-6.148566,0.108656
MnMn,-8.819395,0.000000
CrMn,-9.172141,-0.019049
VMn,-9.248269,-0.367822
ZnMn,-4.972492,-0.052792
MoMn,-9.799032,0.084484
WMn,-10.860897,0.057539
AlMn,-6.587993,-0.355230
TiMn,-8.612618,-0.372275
TaMn,-10.693152,-0.352777
NbMn,-9.742611,-0.229648
HfMn,-9.605390,-0.307759
ZrMn,-8.784765,-0.163277
NiCr,-7.220890,0.210677
CoCr,-7.894358,0.321854
FeCr,-8.677720,0.186843
CuCr,-5.974977,0.615941
MnCr,-9.172141,-0.019049
CrCr,-9.486787,0.000000
VCr,-9.304457,-0.090313
ZnCr,-4.972523,0.280873
MoCr,-10.164213,0.053000
WCr,-11.226858,0.025274
AlCr,-6.656062,-0.089603
TiCr,-8.544858,0.029181
TaCr,-10.717891,-0.043819
NbCr,-9.811207,0.035453
HfCr,-9.594300,0.037028
ZrCr,-8.817300,0.137884
NiV,-7.176791,-0.017868
CoV,-7.976005,-0.032436
FeV,-8.719547,-0.127627
CuV,-6.020937,0.297338
MnV,-9.248269,-0.367822
CrV,-9.304457,-0.090313
VV,-8.941501,0.000000
ZnV,-4.813097,0.167656
MoV,-10.070045,-0.125476
WV,-11.054744,-0.075255
AlV,-6.341724,-0.047908
TiV,-8.227933,0.073463
TaV,-10.376682,0.024746
NbV,-9.518838,0.055178
HfV,-9.282586,0.076099
ZrV,-8.489673,0.192867
NiZn,-3.528144,-0.329970
CoZn,-4.031080,-0.048260
FeZn,-4.554738,0.076434
CuZn,-2.509130,-0.151604
MnZn,-4.972492,-0.052792
CrZn,-4.972523,0.280873
VZn,-4.813097,0.167656
ZnZn,-1.020004,0.000000
MoZn,-5.618807,0.365014
WZn,-6.415440,0.603300
AlZn,-2.305826,0.027242
TiZn,-4.620269,-0.279621
TaZn,-6.247251,0.193429
NbZn,-5.538718,0.074550
HfZn,-5.728208,-0.330271
ZrZn,-5.095595,-0.373803
NiMo,-7.913267,0.248724
CoMo,-8.716232,0.230405
FeMo,-9.418793,0.176196
CuMo,-6.818866,0.502477
MnMo,-9.799032,0.084484
CrMo,-10.164213,0.053000
VMo,-10.070045,-0.125476
ZnMo,-5.618807,0.365014
MoMo,-10.947638,0.000000
WMo,-11.994016,-0.011459
AlMo,-7.250732,0.046153
TiMo,-9.393642,-0.089178
TaMo,-11.608640,-0.204143
NbMo,-10.702486,-0.125402
HfMo,-10.449103,-0.087350
ZrMo,-9.662849,0.022760
NiW,-8.905343,0.291567
CoW,-9.715252,0.266304
FeW,-10.456920,0.172988
CuW,-7.731140,0.625122
MnW,-10.860897,0.057539
CrW,-11.226858,0.025274
VW,-11.054744,-0.075255
ZnW,-6.415440,0.603300
MoW,-11.994016,-0.011459
WW,-13.017476,0.000000
AlW,-8.044453,0.287351
TiW,-10.287579,0.051804
TaW,-12.542314,-0.102898
NbW,-11.653851,-0.041847
HfW,-11.297310,0.099362
ZrW,-10.511742,0.208786
NiAl,-5.271912,-0.760674
CoAl,-5.995003,-0.699119
FeAl,-6.323142,-0.378906
CuAl,-3.872208,-0.201618
MnAl,-6.587993,-0.355230
CrAl,-6.656062,-0.089603
VAl,-6.341724,-0.047908
ZnAl,-2.305826,0.027242
MoAl,-7.250732,0.046153
WAl,-8.044453,0.287351
AlAl,-3.646131,0.000000
TiAl,-6.016600,-0.362889
TaAl,-7.706089,0.047654
