CompID,Au,Az,BOG,Bulk,Bprime,C11,C12,C44,Composition,Crystal,Eform,Eform_str,Group,LattPara,Poisson,Shear,Etot,sws,Youngs,bcc2hcp,bcc2sublatt,Smix,Gmix,E_negativity,amass,C_thermoExpansion,radius,volume,VEC,density,Tm,Exp_Bulk,Exp_Youngs,Exp_Shear,Exp_Poisson,Exp_C11,Exp_C12,Exp_C44,Exp_C13,Exp_C33,C13,C33,COA,R0,CS0,volume_TC,radius_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC_diff,volume_EXP,Exp_Surf,Cal_Surf,E_GBR,DOS_EF,E_USF,ShearBurger,ShearBurger_Surf,USF_Surf,Exp_Az,b2h,D_Surf_GBR,ShearBurger_D_Surf_GBR,Surf_USF
20700.0,3.17438416,4.40708926,3.03139073,157.42452172,4.00425639,212.29137608,170.04905491,93.08283999,Hf100,hcp,0.0,0.0,training set,3.2,0.3513994,51.93145187,-30195.84119573,3.28198421,140.36026623,-0.10065849,,0.0,0.0,1.3,178.49,5.9e-06,1.74850866,22.39195284,4.0,13.23644357,2506.0,110.0,78.0,30.0,0.37,190.0,75.0,60.0,66.0,204.0,93.7176556,277.69363864,1.62000092,-0.01941725,678.24274569,22.31325964,1.746458,-0.10336659,0.0027081,22.39195284,2.193,2.314,0.411,5.95,0.42,9.215443,4.202208,0.191518,1.043478,-0.18,1.903,4.84258705,5.509524
20400.0,0.90514496,2.32630373,1.7996446,94.76191175,4.00850367,147.73896021,84.13458648,73.98154602,Zr100,hcp,0.0,0.0,training set,3.23,0.26558595,52.65590317,-7198.43973573,3.36853184,133.28114225,-0.05975024,,0.0,0.0,1.33,91.224,5.7e-06,1.77095734,23.26552782,4.0,6.51096852,2128.0,91.0,67.0,33.0,0.34,155.0,67.0,36.0,65.0,172.0,47.58946585,199.85065778,1.61732852,0.035281,478.50981761,23.2834539,1.771412,-0.0512738,-0.00847644,23.26552782,2.0,2.111,0.314,4.621,0.25,10.281829,5.140914,0.125,0.818182,-0.08,1.797,5.72166326,8.444
10800.0,0.33176806,1.68191193,2.17240995,196.94310115,4.00285174,285.47667058,152.67631643,111.67924976,Ta100,bcc,0.0,0.0,training,3.3,0.30045841,90.65650871,-31252.46012316,3.10126851,235.7900382,0.32558762,1000.0,0.0,0.0,1.5,180.94788,6.3e-06,1.62482929,17.9685,5.0,16.72210974,3290.0,200.0,186.0,67.0,0.34,261.0,157.0,82.0,157.0,261.0,152.67631643,285.47667058,1.0,0.0,796.8021249,18.01853584,1.626336,0.13182499,0.19376263,17.9685,3.15,3.084,1.5,3.24,0.726,19.165578,6.084311,0.349206,1.576923,0.3,1.584,12.09948136,4.247934
20100.0,0.63846044,2.12966367,1.80903639,111.48632161,4.01828328,175.66301231,94.86889146,86.03215182,Ti100,hcp,0.0,0.0,training set,2.95,0.26661358,61.62746222,-1707.63503924,3.04469617,156.11636106,-0.08510609,,0.0,0.0,1.54,47.867,8.6e-06,1.61473269,17.63561142,4.0,4.50707809,1941.0,107.0,116.0,44.0,0.32,176.0,87.0,51.0,68.0,191.0,62.72174192,211.48721334,1.61001037,0.00830748,491.11247588,17.65995921,1.615475,-0.04715164,-0.03795445,17.63561142,2.1,2.516,0.365,5.029,0.395,12.502299,5.953476,0.188095,1.146067,-0.1,2.151,5.81231927,6.36962
201400.0,0.4,-0.66666667,2.0,278.66896838,4.09508443,0.0,150.0,50.0,Mn100,hcp,0.0,0.0,training set,8.9125,0.28,100.0,-2317.31198343,2.59114832,0.0,-0.093511,,0.0,0.0,1.55,54.938045,2.17e-05,1.428326,12.20592326,7.0,7.47398049,1519.0,120.0,198.0,80.0,0.24,232.0,95.0,44.0,95.0,232.0,40.0,60.0,1.62402304,-0.00316767,1227.39690462,12.05434275,1.422389,-0.01171648,-0.08179452,24.41184651,1.6,3.1,1.0,3.669,1.0,20.014518,12.509074,0.625,0.642336,-0.093511,2.1,9.53072272,3.1
10500.0,0.15183775,0.70197082,3.09971902,176.42481113,4.00681364,270.22071945,129.52685697,49.38149297,Nb100,bcc,0.0,0.0,training,3.301,0.35435701,56.91638828,-7640.95960321,3.0916873,154.17021919,0.35543662,1000.0,0.0,0.0,1.6,92.90638,7.3e-06,1.62532166,17.98483995,5.0,8.57804569,2750.0,170.0,105.0,38.0,0.4,246.0,139.0,29.0,139.0,246.0,129.52685697,270.22071945,1.0,0.0,844.16317488,17.97745354,1.625099,0.11109779,0.24433883,17.9685,2.655,2.685,1.23,2.256,0.674,10.861762,4.091059,0.312618,0.542056,0.3,1.455,7.46512857,3.98368
201000.0,0.4,-0.66666667,2.0,75.76023471,8.64992216,0.0,150.0,50.0,Al100,hcp,0.0,0.0,training set,4.0495,0.28,100.0,-485.64046859,2.99247247,0.0,-0.064597,,0.0,0.0,1.61,26.9815386,2.31e-05,1.5825297,16.60138107,3.0,2.69880736,933.32,76.0,70.0,26.0,0.35,103.0,53.0,28.0,53.0,103.0,40.0,60.0,1.64448696,-0.13630373,281.97184864,15.4452126,1.544905,-0.03832563,-0.02627137,16.60138107,1.16,1.199,0.436,0.7519,0.15,7.064996,6.090514,0.12931,1.12,-0.064597,0.763,9.25949718,7.993333
10200.0,0.2591688,0.6308757,3.20953925,186.64159635,4.01313126,288.75120654,135.58679125,48.31385404,V100,bcc,0.0,0.0,training,3.03,0.35887158,58.15214647,-1898.6480882,2.79296842,158.04259861,0.29788057,1000.0,0.0,0.0,1.63,50.9415,8.4e-06,1.49188871,13.9090635,5.0,6.08167535,2183.0,160.0,128.0,47.0,0.37,228.0,119.0,43.0,119.0,228.0,135.58679125,288.75120654,1.0,0.0,918.98649174,13.82910721,1.489025,0.04891619,0.24896438,13.9090635,2.622,3.028,1.33,4.445,0.713,12.30939,4.694657,0.312738,0.788991,0.27,1.698,7.24934636,4.246844
10300.0,0.09495396,0.75549792,2.08271608,238.91258071,4.01889221,419.84337672,148.44718271,102.51962969,Cr100,bcc,0.0,0.0,training,2.91,0.29305059,114.7120259,-2101.78495606,2.6939852,296.65690557,0.45912306,1000.0,0.0,0.0,1.66,51.9961,4.9e-06,1.43280401,12.3210855,6.0,7.00763048,2180.0,162.0,279.0,115.0,0.21,350.0,69.0,101.0,69.0,350.0,148.44718271,419.84337672,1.0,0.0,1628.37716406,11.9921498,1.419938,0.0436166,0.41550646,12.3210855,2.3,3.505,1.78,0.7606,1.549,28.721304,12.487523,0.869565,0.718861,0.42,1.725,16.65003124,2.26275
101200.0,0.408,1.77,2.0,181.43192904,6.21931322,0.0,150.0,50.0,Fe100,bcc,0.0,0.0,training,2.8665,0.28,50.0,-2545.61494611,2.6394115,0.0,0.085851,1000.0,0.0,0.0,1.83,55.845,1.18e-05,1.4113858,11.77676049,8.0,7.87422548,1811.0,170.0,211.0,82.0,0.29,237.0,141.0,69.0,141.0,237.0,150.0,0.0,1.0,0.0,-900.0,11.77722919,1.411405,0.0459693,0.0398817,11.77676049,2.417,2.43,1.68,1.97064,0.98,20.356457,8.4222,0.45511,1.4375,0.085851,0.75,27.14194263,2.479592
201100.0,0.4,-0.66666667,2.0,249.01058064,3.95566629,0.0,150.0,50.0,Co100,hcp,0.0,0.0,training set,2.5071,0.28,100.0,-2786.94573133,2.55879004,0.0,-0.08919,,0.0,0.0,1.88,58.933195,1.3e-05,1.3828194,11.07605242,9.0,8.83536261,1768.0,180.0,209.0,76.0,0.31,307.0,165.0,76.0,103.0,358.0,40.0,60.0,1.62194667,0.00357742,1299.91610502,11.07616438,1.382824,-0.02001716,-0.06917284,11.07605242,2.55,2.775,0.722,3.8079,0.152,18.484911,7.248985,0.059608,1.070423,-0.08919,2.053,9.00385317,18.256579
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Re,hcp,0.0,0.0,0.0,2.761,0.0,0.0,0.0,2.87121896,0.0,-0.320675,0.0,0.0,0.0,1.9,186.207,6.2e-06,1.51938375,14.69234249,7.0,21.04526281,3459.0,370.0,463.0,178.0,0.3,634.4,266.0,169.1,202.0,701.1,0.0,0.0,1.61209707,0.0,0.0,14.71351358,1.520113,-0.1646776,-0.1559974,14.69234249,3.626,4.214,0.97,3.413,0.5,47.591869,13.125171,0.137893,0.918024,-0.320675,3.244,14.67073656,8.428
201300.0,0.4,-0.66666667,2.0,203.59686043,4.10758093,0.0,150.0,50.0,Ni100,hcp,0.0,0.0,training set,3.524,0.28,100.0,-3041.66873719,2.60158052,0.0,-0.0673,,0.0,0.0,1.91,58.6934,1.34e-05,1.37716623,10.94076546,10.0,8.90822041,1728.0,180.0,200.0,76.0,0.31,248.0,155.0,124.0,155.0,248.0,40.0,60.0,1.63366157,0.0213823,790.35451577,11.29229236,1.39176,-0.06151056,-0.00578944,10.94076546,2.38,2.426,1.195,3.5416,0.39,18.604368,7.816961,0.163866,2.666667,-0.0673,1.231,15.11321547,6.220513
10600.0,0.10909317,0.7405339,1.90286317,261.29894057,4.00229403,480.49017993,151.70332089,121.73890769,Mo100,bcc,0.0,0.0,training,3.15,0.27640605,137.31882824,-8099.19702469,2.9496223,350.54916736,0.51045844,1000.0,0.0,0.0,2.16,95.94,4.8e-06,1.55097341,15.6279375,6.0,10.19406603,2896.0,272.0,329.0,126.0,0.31,450.0,173.0,125.0,173.0,450.0,151.70332089,480.49017993,1.0,0.0,1972.72115424,15.59040206,1.549731,0.11969958,0.39075886,15.6279375,3.0,3.454,2.04,0.9874,1.425,34.345007,11.448336,0.733333,0.902527,0.44,1.414,24.28925556,2.42386
10900.0,0.00518201,0.93640962,1.82548061,299.44146027,4.01393897,526.94747387,185.68845347,159.77911535,W100,bcc,0.0,0.0,training,3.17,0.26839134,164.03431459,-32332.53622619,2.97273438,416.11940879,0.58168482,1000.0,0.0,0.0,2.36,183.84,4.5e-06,1.56082086,15.9275065,6.0,19.16644707,3695.0,310.0,411.0,161.0,0.28,523.0,203.0,160.0,203.0,523.0,185.68845347,526.94747387,1.0,0.0,2047.5541224,15.8483661,1.558231,0.1528631,0.42882172,15.9275065,3.675,4.005,2.61,0.6815,1.786,44.126011,12.007078,0.734694,1.0,0.54,1.395,31.63154927,2.242441
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sc,hcp,0.0,0.0,0.0,3.309,0.0,0.0,0.0,3.4279003,0.0,-0.102773,0.0,0.0,0.0,1.36,44.955912,1.02e-05,1.81396685,25.00210931,3.0,2.98579205,1814.0,57.0,74.0,29.0,0.28,98.6,44.8,27.5,29.5,106.2,0.0,0.0,1.59362345,0.0,0.0,25.00210931,1.813967,-0.102773,-0.102773,25.00210931,1.275,1.526,0.294,5.641,0.2,9.252608,7.256948,0.156863,1.022305,-0.102773,1.232,7.51023403,7.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cu,fcc,0.0,0.0,0.0,3.6149,0.0,0.0,0.0,2.66959629,0.0,-0.025133,0.0,0.0,0.0,1.9,63.546,1.65e-05,1.41268962,11.80942825,2.0,8.93529181,1357.62,140.0,130.0,48.0,0.34,156.0,106.0,75.0,106.0,156.0,0.0,0.0,1.0,0.0,0.0,11.80942825,1.41269,-0.025133,-0.025133,11.80942825,1.825,1.952,0.824,1.973,0.22,11.926824,6.535246,0.120548,3.0,-0.025133,1.128,10.57342588,8.872727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn,hcp,0.0,0.0,0.0,2.665,0.0,0.0,0.0,2.9047523,0.0,-0.089818,0.0,0.0,0.0,1.65,65.409,3.02e-05,1.53712883,15.21315937,2.0,7.13949491,692.53,70.0,108.0,43.0,0.25,163.0,30.6,39.4,48.1,60.3,0.0,0.0,1.85621013,0.0,0.0,15.21226577,1.537099,-0.02211424,-0.06770376,15.21315937,0.99,0.989,0.094,1.533,0.2,11.625377,11.742805,0.20202,0.595166,-0.089818,0.895,12.98924829,4.945
