Compstr,pairID,Crystal,Etot,Eform,bcc2laves_Hmix_TC,Eform_VASP
CoNi2,P10,Laves,-5.600606,0.298836,-0.018866,0.298836
FeNi2,P20,Laves,-6.287937,0.043739,0.040869,0.043739
CuNi2,P30,Laves,-4.732522,0.083391,-0.031878,0.083391
MnNi2,P40,Laves,-6.648032,-0.124004,-0.033465,-0.124004
CrNi2,P50,Laves,-6.562278,0.184215,0.009331,0.184215
VNi2,P60,Laves,-6.644728,-0.079998,-0.017833,-0.079998
ZnNi2,P70,Laves,-4.043293,-0.119062,-0.029994,-0.119062
MoNi2,P80,Laves,-7.290273,-0.056830,0.077328,-0.056830
WNi2,P90,Laves,-7.981724,-0.058335,0.035238,-0.058335
AlNi2,P100,Laves,-5.170200,-0.370593,-0.168887,-0.370593
TiNi2,P110,Laves,-6.576293,-0.438299,-0.159886,-0.438299
TaNi2,P120,Laves,-7.832792,-0.294776,-0.293209,-0.294776
NbNi2,P130,Laves,-7.240672,-0.254265,-0.268675,-0.254265
HfNi2,P140,Laves,-7.451409,-0.608556,-0.530619,-0.608556
ZrNi2,P150,Laves,-6.907573,-0.515483,-0.500639,-0.515483
FeCo2,P21,Laves,-7.071145,0.306726,0.127493,0.306726
CuCo2,P31,Laves,-5.652178,0.209929,0.027569,0.209929
MnCo2,P41,Laves,-7.343682,0.226541,0.041573,0.226541
CrCo2,P51,Laves,-7.597700,0.194987,0.045784,0.194987
VCo2,P61,Laves,-7.678251,-0.067326,0.041210,-0.067326
ZnCo2,P71,Laves,-4.924869,0.045557,0.045045,0.045557
MoCo2,P81,Laves,-8.287354,-0.007717,0.103491,-0.007717
WCo2,P91,Laves,-9.006773,-0.037190,0.043959,-0.037190
AlCo2,P101,Laves,-6.048360,-0.202559,0.010748,-0.202559
TiCo2,P111,Laves,-7.573003,-0.388816,-0.402871,-0.388816
TaCo2,P121,Laves,-8.862971,-0.278761,-0.313656,-0.278761
NbCo2,P131,Laves,-8.259099,-0.226497,-0.248688,-0.226497
HfCo2,P141,Laves,-8.385100,-0.496053,-0.457306,-0.496053
ZrCo2,P151,Laves,-7.858534,-0.420250,-0.404679,-0.420250
CuFe2,P32,Laves,-6.466043,0.260533,0.040535,0.260533
MnFe2,P42,Laves,-8.336069,0.098622,0.059629,0.098622
CrFe2,P52,Laves,-8.503387,0.153769,0.115060,0.153769
VFe2,P62,Laves,-8.518469,-0.043075,0.053701,-0.043075
ZnFe2,P72,Laves,-5.697162,0.137733,0.063100,0.137733
MoFe2,P82,Laves,-9.120133,0.023973,0.215733,0.023973
WFe2,P92,Laves,-9.781913,0.052139,0.213186,0.052139
AlFe2,P102,Laves,-6.856548,-0.146278,0.080195,-0.146278
TiFe2,P112,Laves,-8.370100,-0.321443,-0.196924,-0.321443
TaFe2,P122,Laves,-9.611456,-0.162777,-0.275353,-0.162777
NbFe2,P132,Laves,-9.050974,-0.153903,-0.169244,-0.153903
HfFe2,P142,Laves,-9.166760,-0.413244,-0.322856,-0.413244
ZrFe2,P152,Laves,-8.627729,-0.324976,-0.348697,-0.324976
MnCu2,P43,Laves,-5.284168,0.118997,-0.015530,0.118997
CrCu2,P53,Laves,-5.315031,0.310597,0.001191,0.310597
VCu2,P63,Laves,-5.239156,0.204710,0.001175,0.204710
ZnCu2,P73,Laves,-2.821642,-0.018275,-0.012059,-0.018275
MoCu2,P83,Laves,-5.906504,0.206074,0.001193,0.206074
WCu2,P93,Laves,-6.530363,0.272162,-0.002059,0.272162
AlCu2,P103,Laves,-3.856048,-0.177305,-0.100591,-0.177305
TiCu2,P113,Laves,-5.031954,-0.014824,-0.021205,-0.014824
TaCu2,P123,Laves,-3.799026,2.618125,0.001001,2.618125
NbCu2,P133,Laves,-5.767340,0.098203,0.001101,0.098203
HfCu2,P143,Laves,-5.830618,-0.108629,-0.041801,-0.108629
ZrCu2,P153,Laves,-5.392287,-0.121061,-0.024212,-0.121061
CrMn2,P54,Laves,-9.026920,0.014939,0.024203,0.014939
VMn2,P64,Laves,-9.035732,-0.175635,0.024116,-0.175635
ZnMn2,P74,Laves,-6.074921,0.144677,-0.037351,0.144677
MoMn2,P84,Laves,-9.677088,-0.148279,0.024110,-0.148279
WMn2,P94,Laves,-10.386180,-0.167425,0.221078,-0.167425
AlMn2,P104,Laves,-7.301867,-0.206894,-0.010716,-0.206894
TiMn2,P114,Laves,-8.827543,-0.394183,-0.049615,-0.394183
TaMn2,P124,Laves,-10.147855,-0.314473,-0.026424,-0.314473
NbMn2,P134,Laves,-9.535235,-0.253461,-0.026126,-0.253461
HfMn2,P144,Laves,-9.568772,-0.430552,-0.069774,-0.430552
ZrMn2,P154,Laves,-9.022210,-0.334754,-0.051680,-0.334754
VCr2,P65,Laves,-9.253875,0.051151,0.074593,0.051151
