Composition,Crystal,Processing,GrainSize,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,Youngs_EXP,Youngs_ROM_ORG,DOI,YEAR,TITLE,SOURCE,ReducedFormula,radius,radius_TC,Tm_ROM,volume,LattPara,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,D_Surf_GBR_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,ShearBurger_D_Surf_GBR,Surf_USF,DOS_VEC,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,298.15000000,1620.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.19492277,3152.69916633,2.39709956,2174.77297969
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,773.15000000,1120.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.50546551,3152.69916633,2.39709956,1396.17911428
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,873.15000000,805.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.57084292,3152.69916633,2.39709956,1256.57341895
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,973.15000000,567.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.63622034,3152.69916633,2.39709956,1130.92707166
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,1073.15000000,302.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.70159776,3152.69916633,2.39709956,1017.84425973
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,1173.15000000,214.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.76697518,3152.69916633,2.39709956,916.06873956
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,1273.15000000,116.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.83235260,3152.69916633,2.39709956,824.46988090
Al285Cr142Fe142Co142(CuNi)142,BCC,CAST,,,1,1373.15000000,79.00000000,,,,,156.00000000,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,Al285Cr142Fe142Co142(CuNi)142,1.45468925,1.42891578,1529.58014070,12.61643532,2.93306860,0.28600000,0.14300000,0.14300000,0.14300000,0.14300000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015068,2.72492403,146.32758560,0.06833376,0.05456201,-0.06508248,-0.03817124,-0.03091044,-0.05194300,-0.04468219,0.00106660,0.03848018,0.00336408,48.97455597,5.85427136,1.77126633,0.04318015,140.50653266,64.10452261,166.90251256,0.30861307,1.96947136,2.21126734,1.00985126,1.93560058,0.51263518,1.59002014,0.02776908,1.20141608,6.44589513,0.04666654,0.18578112,0.47023455,0.43881749,0.03423828,0.01311019,0.12842655,0.04889776,0.38256310,0.13535069,0.36867431,0.13226034,16.28326619,8.26783600,13.55339458,4.31353025,0.33063049,1.89273618,0.08213629,6.03813911,0.89773001,3152.69916633,2.39709956,742.03010665
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,298.15000000,1125.50000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.18295265,2771.03515953,2.27494810,1880.99698885
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,873.15000000,561.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.53578770,2771.03515953,2.27494810,1051.22779931
