CompID,Au,Az,BOG,Bulk,Bprime,C11,C12,C44,Composition,Crystal,Eform,Eform_str,Group,LattPara,Poisson,Shear,Etot,sws,Youngs,bcc2hcp,bcc2sublatt,Smix,Gmix,E_negativity,amass,C_thermoExpansion,radius,volume,VEC,density,Tm,Exp_Bulk,Exp_Youngs,Exp_Shear,Exp_Poisson,Exp_C11,Exp_C12,Exp_C44,Exp_C13,Exp_C33,C13,C33,R0,CS0,COA,volume_TC,radius_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC_diff,volume_EXP,Exp_Surf,Cal_Surf,E_GBR,DOS_EF,E_USF,ShearBurger,ShearBurger_Surf,USF_Surf,Exp_Az,b2h,D_Surf_GBR,ShearBurger_D_Surf_GBR,Surf_USF
10700.0,-59.03927832,-47.17820237,4.36479585,117.4026723,4.00210621,114.57039143,118.81881274,100.21644016,Hf100,bcc,0.10065849,0.0,training,3.53859034,0.39357466,26.89763195,-30195.83379747,3.2924783,74.96771654,-0.10065849,1000.0,0.0,0.10065849,1.3,178.49,5.9e-06,1.74230461,22.15444461,4.0,13.37834577,2506.0,110.0,78.0,30.0,0.37,190.0,75.0,60.0,66.0,204.0,93.7176556,277.69363864,-0.01941725,678.24274569,1.62000092,22.31321674,1.746457,-0.10336659,0.0027081,22.39195284,2.193,2.314,0.411,5.95,0.42,9.215437,4.202206,0.191518,1.043478,-0.18,1.903,4.84258395,5.509524
10400.0,7.64942207,8.25335555,2.84192688,91.92664738,3.99287482,103.47766541,86.15113836,71.50099409,Zr100,bcc,0.05975024,0.0,training,3.58644073,0.34253259,32.3465913,-7198.43534417,3.33700066,86.85270603,-0.05975024,1000.0,0.0,0.05975024,1.33,91.224,5.7e-06,1.76586483,23.06539936,4.0,6.56746137,2128.0,91.0,67.0,33.0,0.34,155.0,67.0,36.0,65.0,172.0,47.58946585,199.85065778,0.035281,478.50981761,1.61732852,23.0780471,1.766188,-0.0512738,-0.00847644,23.26552782,2.0,2.111,0.314,4.621,0.25,10.251504,5.125752,0.125,0.818182,-0.08,1.797,5.70478802,8.444
10800.0,0.33176806,1.68191193,2.17240995,196.94310115,4.00285174,285.47667058,152.67631643,111.67924976,Ta100,bcc,0.0,0.0,training,3.33308766,0.30045841,90.65650871,-31252.46012316,3.10126851,235.7900382,0.32558762,1000.0,0.0,0.0,1.5,180.94788,6.3e-06,1.64112074,18.51442426,5.0,16.22903443,3290.0,200.0,186.0,67.0,0.34,261.0,157.0,82.0,157.0,261.0,152.67631643,285.47667058,0.0,796.8021249,1.0,18.01853584,1.626336,0.13182499,0.19376263,17.9685,3.15,3.084,1.5,3.24,0.726,19.165578,6.084311,0.349206,1.576923,0.3,1.584,12.09948136,4.247934
10100.0,49.84358436,43.51333888,4.38775981,106.86205448,4.01161394,109.10738677,105.73938833,73.27642873,Ti100,bcc,0.08510609,0.0,training,3.25957126,0.39409232,24.35458165,-1707.62878406,3.03286524,67.90507068,-0.08510609,1000.0,0.0,0.08510609,1.54,47.867,8.6e-06,1.60492328,17.31615418,4.0,4.59022696,1941.0,107.0,116.0,44.0,0.32,176.0,87.0,51.0,68.0,191.0,62.72174192,211.48721334,0.00830748,491.11247588,1.61001037,17.68460102,1.616226,-0.04715164,-0.03795445,17.63561142,2.1,2.516,0.365,5.029,0.395,12.508111,5.956243,0.188095,1.146067,-0.1,2.151,5.81502141,6.36962
101400.0,0.408,1.77,2.0,277.88030674,4.44084743,0.0,150.0,50.0,Mn100,bcc,0.06078169,0.0,training,2.78651492,0.28,50.0,-2317.30751606,2.59271038,0.0,-0.093511,1000.0,0.0,0.06078169,1.55,54.938045,2.17e-05,1.37200335,10.81817799,7.0,8.43273537,1519.0,120.0,198.0,80.0,0.24,232.0,95.0,44.0,95.0,232.0,40.0,60.0,-0.00316767,1227.39690462,1.62402304,12.75131858,1.449291,-0.01171648,-0.08179452,24.41184651,1.6,3.1,1.0,3.669,1.0,20.393056,12.74566,0.625,0.642336,-0.093511,2.1,9.71097914,3.1
10500.0,0.15183775,0.70197082,3.09971902,176.42481113,4.00681364,270.22071945,129.52685697,49.38149297,Nb100,bcc,0.0,0.0,training,3.32279025,0.35435701,56.91638828,-7640.95960321,3.0916873,154.17021919,0.35543662,1000.0,0.0,0.0,1.6,92.90638,7.3e-06,1.63605058,18.34335566,5.0,8.41039021,2750.0,170.0,105.0,38.0,0.4,246.0,139.0,29.0,139.0,246.0,129.52685697,270.22071945,0.0,844.16317488,1.0,17.97745354,1.625099,0.11109779,0.24433883,17.9685,2.655,2.685,1.23,2.256,0.674,10.861762,4.091059,0.312618,0.542056,0.3,1.455,7.46512857,3.98368
101000.0,0.408,1.77,2.0,71.95009106,4.00272691,0.0,150.0,50.0,Al100,bcc,0.03608013,0.0,training,3.23297525,0.28,50.0,-485.63781675,3.00811901,0.0,-0.064597,1000.0,0.0,0.03608013,1.61,26.9815386,2.31e-05,1.59182814,16.89573713,3.0,2.65178898,933.32,76.0,70.0,26.0,0.35,103.0,53.0,28.0,53.0,103.0,40.0,60.0,-0.13630373,281.97184864,1.64448696,15.11342169,1.533762,-0.03832563,-0.02627137,16.60138107,1.16,1.199,0.436,0.7519,0.15,7.01404,6.046586,0.12931,1.12,-0.064597,0.763,9.19271312,7.993333
10200.0,0.2591688,0.6308757,3.20953925,186.64159635,4.01313126,288.75120654,135.58679125,48.31385404,V100,bcc,0.0,0.0,training,3.0017422,0.35887158,58.15214647,-1898.6480882,2.79296842,158.04259861,0.29788057,1000.0,0.0,0.0,1.63,50.9415,8.4e-06,1.47797535,13.52353336,5.0,6.25505231,2183.0,160.0,128.0,47.0,0.37,228.0,119.0,43.0,119.0,228.0,135.58679125,288.75120654,0.0,918.98649174,1.0,13.82910721,1.489025,0.04891619,0.24896438,13.9090635,2.622,3.028,1.33,4.445,0.713,12.30939,4.694657,0.312738,0.788991,0.27,1.698,7.24934636,4.246844
10300.0,0.09495396,0.75549792,2.08271608,238.91258071,4.01889221,419.84337672,148.44718271,102.51962969,Cr100,bcc,0.0,0.0,training,2.89536001,0.29305059,114.7120259,-2101.78495606,2.6939852,296.65690557,0.45912306,1000.0,0.0,0.0,1.66,51.9961,4.9e-06,1.42559568,12.13606013,6.0,7.11446824,2180.0,162.0,279.0,115.0,0.21,350.0,69.0,101.0,69.0,350.0,148.44718271,419.84337672,0.0,1628.37716406,1.0,11.9921498,1.419938,0.0436166,0.41550646,12.3210855,2.3,3.505,1.78,0.7606,1.549,28.721304,12.487523,0.869565,0.718861,0.42,1.725,16.65003124,2.26275
101200.0,0.408,1.77,2.0,181.43192904,6.21931322,0.0,150.0,50.0,Fe100,bcc,0.0,0.0,training,2.83670694,0.28,50.0,-2545.61494611,2.6394115,0.0,0.085851,1000.0,0.0,0.0,1.83,55.845,1.18e-05,1.39671652,11.41335742,8.0,8.12494203,1811.0,170.0,211.0,82.0,0.29,237.0,141.0,69.0,141.0,237.0,150.0,0.0,0.0,-900.0,1.0,11.77722919,1.411405,0.0459693,0.0398817,11.77676049,2.417,2.43,1.68,1.97064,0.98,20.356457,8.4222,0.45511,1.4375,0.085851,0.75,27.14194263,2.479592
101100.0,0.408,1.77,2.0,237.84554606,4.04266663,0.0,150.0,50.0,Co100,bcc,0.19989968,0.0,training,2.76579537,0.28,50.0,-2786.93103898,2.5734319,0.0,-0.08919,1000.0,0.0,0.19989968,1.88,58.933195,1.3e-05,1.36180161,10.57864736,9.0,9.2507989,1768.0,180.0,209.0,76.0,0.31,307.0,165.0,76.0,103.0,358.0,40.0,60.0,0.00357742,1299.91610502,1.62194667,11.15409729,1.38606,-0.02001716,-0.06917284,11.07605242,2.55,2.775,0.722,3.8079,0.152,18.528163,7.265946,0.059608,1.070423,-0.08919,2.053,9.02492114,18.256579
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Re,hcp,0.0,0.0,0.0,2.761,0.0,0.0,0.0,2.87121896,0.0,-0.320675,0.0,0.0,0.0,1.9,186.207,6.2e-06,1.51938375,14.69234249,7.0,21.04526281,3459.0,370.0,463.0,178.0,0.3,634.4,266.0,169.1,202.0,701.1,0.0,0.0,0.0,0.0,1.61209707,14.71351358,1.520113,-0.1646776,-0.1559974,14.69234249,3.626,4.214,0.97,3.413,0.5,47.591869,13.125171,0.137893,0.918024,-0.320675,3.244,14.67073656,8.428
101300.0,0.408,1.77,2.0,198.53015238,4.03080134,0.0,150.0,50.0,Ni100,bcc,0.0023361,0.0,training,2.79644308,0.28,50.0,-3041.66856549,2.60194803,0.0,-0.0673,1000.0,0.0,0.0023361,1.91,58.6934,1.34e-05,1.3768917,10.93422374,10.0,8.91355002,1728.0,180.0,200.0,76.0,0.31,248.0,155.0,124.0,155.0,248.0,40.0,60.0,0.0213823,790.35451577,1.63366157,11.04381059,1.381476,-0.06151056,-0.00578944,10.94076546,2.38,2.426,1.195,3.5416,0.39,18.466895,7.759199,0.163866,2.666667,-0.0673,1.231,15.00153914,6.220513
10600.0,0.10909317,0.7405339,1.90286317,261.29894057,4.00229403,480.49017993,151.70332089,121.73890769,Mo100,bcc,0.0,0.0,training,3.17010593,0.27640605,137.31882824,-8099.19702469,2.9496223,350.54916736,0.51045844,1000.0,0.0,0.0,2.16,95.94,4.8e-06,1.56087301,15.92910327,6.0,10.00133052,2896.0,272.0,329.0,126.0,0.31,450.0,173.0,125.0,173.0,450.0,151.70332089,480.49017993,0.0,1972.72115424,1.0,15.59040206,1.549731,0.11969958,0.39075886,15.6279375,3.0,3.454,2.04,0.9874,1.425,34.345007,11.448336,0.733333,0.902527,0.44,1.414,24.28925556,2.42386
